# 49971 addresses changed in all 4 diffs
# values from level20.snap; addr  int32_le  float32  hex
  0x00007ff60ccbbe8a     32311640   8.7073e-38  5809ed01
  0x00007ff60ccbbe8b       126217   1.7687e-40  09ed0100
  0x00007ff60ccbbe8c          493   6.9084e-43  ed010000
  0x00007ff60ccbbe8d   1157627905   2.0480e+03  01000045
* 0x00007ff60ccbc428  -1140346992  -8.2816e-03  90af07bc
  0x00007ff60ccbc429   -306444369  -7.2741e+27  af07bced
  0x00007ff60ccbc42a     32357383   8.7330e-38  07bced01
* 0x00007ff60ccbc42c          493   6.9084e-43  ed010000
  0x00007ff60ccbc42d    201326593   9.8608e-32  0100000c
* 0x00007ff60ccbc4a8   -294443856  -1.8812e+28  b02473ee
  0x00007ff60ccbc4a9   -303140060  -9.2246e+27  2473eeed
  0x00007ff60ccbc4aa     32370291   8.7402e-38  73eeed01
  0x00007ff60ccbc4ab       126446   1.7719e-40  eeed0100
  0x00007ff60ccbc4ac          493   6.9084e-43  ed010000
  0x00007ff60ccbc4ad   1073741825   2.0000e+00  01000040
* 0x00007ff60ccbc690    820842816   1.7249e-09  4011ed30
  0x00007ff60ccbc691   -298783471  -1.3689e+28  11ed30ee
  0x00007ff60ccbc692     32387309   8.7498e-38  ed30ee01
  0x00007ff60ccbc693       126512   1.7728e-40  30ee0100
  0x00007ff60ccbc694          494   6.9224e-43  ee010000
  0x00007ff60ccbc695   1006632961   7.8125e-03  0100003c
* 0x00007ff60ccbc6c9   -299105938  -1.3308e+28  6e012cee
  0x00007ff60ccbc6ca     32386049   8.7491e-38  012cee01
  0x00007ff60ccbc6cb       126508   1.7728e-40  2cee0100
  0x00007ff60ccbc6cc          494   6.9224e-43  ee010000
  0x00007ff60ccbc6cd   1879048193   1.5846e+29  01000070
* 0x00007ff60ccbc701   -299105939  -1.3308e+28  6d012cee
  0x00007ff60ccbc702     32386049   8.7491e-38  012cee01
* 0x00007ff60ccbc704          494   6.9224e-43  ee010000
  0x00007ff60ccbc705    201326593   9.8608e-32  0100000c
* 0x00007ff60ccbc780   1391452928   5.1515e+11  00e3ef52
  0x00007ff60ccbc781   -313331741  -4.0801e+27  e3ef52ed
  0x00007ff60ccbc782     32330479   8.7179e-38  ef52ed01
